IDX,PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
2168,80KZH,SYRINGE NEEDLE INTRODUCER,GAINE D'INTRODUCTION DE SERINGUE
2169,80LDR,"CONTROLLER, INTRAVASCULAR, INFUSION, ELECTRONIC",REGULATEUR DE POMPE A PERFUSION INTRAVASCULAIRE ELECTRONIQUE
2170,80LLD,"PORT & CATHETER,INFUSION, SUBCUTANEOUS","CATHETER A CHAMBRE, POUR PERFUSION, SOUS-CUTANE"
2171,80LNX,"COMPUTER AND SOFTWARE, MEDICAL (SEE 80VBH)",ORDINATEUR ET LOGICIELS A USAGE MEDICAL (VOIR 80VBH)
2172,80LZG,"PUMP, INFUSION, INSULIN",POMPE A PERFUSION D'INSULINE
2173,80QAB,ADHESIVE STRIP,BANDE ADHESIVE
2174,80QCO,"BANDAGE, OTHER",AUTRE TYPE DE PANSEMENT
2175,80QJP,"PAPER, CHART, RECORD, MEDICAL",PAPIER GRAPHIQUE POUR DOSSIER MEDICAL
2176,80QLU,COMMODE SEAT,SIEGE DE TOILETTE
2177,80QQS,"PAD, DRESSING",PANSEMENT COUSSINE
2178,80QQU,"DRESSING, BURN",PANSEMENT POUR BRULURES
2179,80QYK,"GLOVE, OTHER",AUTRE TYPE DE GANT
2180,80RBB,"HYPO/HYPERTHERMIA UNIT, MOBILE",UNITE D'HYPO/HYPERTHERMIE PORTABLE
2181,80RCC,"INJECTOR, MEDICATION (INOCULATOR)",INJECTEUR DE MEDICAMENTS (INOCULATEUR)
2182,80RDC,"LINER, KICK BUCKET",REVETEMENT DE SEAU A DECHETS SUR ROUES
2183,80RGM,"PAD, MEDICATED",COMPRESSE MEDICAMENTEUSE
2184,80RGZ,"KIT, MID-STREAM COLLECTION",TROUSSE POUR PRELEVEMENT EN MILIEU DE JET
2185,80RMD,"PAD, PRESSURE, GEL",COUSSIN DE GELEE POUR APPUI
2186,80RMK,"PROBE, OTHER",AUTRE TYPE DE SONDE
2187,80RPJ,"RETAINER, BANGAGE (ELASTIC NET)",FILET ELASTIQUE DE MAINTIEN DES PANSEMENTS
2188,80RYG,"SWABS, ANTISEPTIC",ECOUVILLONS ANTISEPTIQUES
2189,80RYS,"SYRINGE, ORAL (MEDICATION DISPENSER)",SERINGUE D'ADMINISTRATION DE MEDICAMENTS PAR VOIE ORALE
2190,80RZD,"TANK,FULL BODY(BATH)",CUVE POUR IMMERSION TOTALE (BAIGNOIRE)
2191,80RZG,"TAPE, ADHESIVE, WATERPROOF",RUBAN ADHESIF IMPERMEABLE
2192,80SAF,THERMISTOR,THERMISTANCE
2193,80SEE,"CONTAINER, URINE SPECIMEN",CONTENANT D'ECHANTILLON D'URINE
2194,80SGR,"SYSTEM, DELIVERY, DRUG, UNIT-DOSE",SYSTEME DE DISTRIBUTION DES MEDICAMENTS PAR DOSES UNITAIRES
2195,80TDT,"DELIVERY SYSTEM, PNEUMATIC TUBE",SYSTEME D'ADMINISTRATION A TUBE PNEUMATIQUE
2196,80TEC,"RAIL, COMMODE",
2197,80TFX,"LIFT, STAIR CLIMBING",FAUTEUIL MONTE-ESCALIER
2198,80UMP,"CHAIR, SEAT LIFTING (STANDING AID)",FAUTEUIL AVEC DISPOSITIF DE LEVAGE DU SIEGE (AIDE A LA VERTICALISATION)
2199,80UMS,"COLUMN, LIFE SUPPORT (ELECTRICAL/GAS)",COLONNE DE SUPPORT POUR RESPIRATEUR ARTIFICIEL (ELECTRIQUE/AU GAZ)
2200,80VBH,COMPUTER SOFTWARE,LOGICIELS
2201,80WLM,"LOCK, CATHETER",VERROU DE CATHETER
2202,80WON,"COLUMN, IMMUNOADSORPTION",COLONNE D'IMMUNO-ADSORPTION
2203,80WOR,"OXIMETER, PULSE",OXYMETRE DE POULS
2204,80WPO,"WIPE, INSTRUMENT","LINGETTE, INSTRUMENT"
2205,80WTB,"CUTTER, PILL",
2206,81DAP,"FIBRINOGEN AND FIBRIN SPLIT PRODUCTS, ANTIGEN, ANTISERUM,CONTROL","PRODUITS DE DEGRADATION DU FIBRINOGENE ET DE LA FIBRINE, ANTIGENE, ANTISERUM, CONTROLE"
2207,81GGK,RED CELL LYSING PRODUCTS,PRODUITS DE LYSE DES GLOBULES ROUGES
2208,81GGW,PARTIAL THROMBOPLASTIN TIME TEST,ESSAI DE TEMPS DE THROMBOPLASTINE PARTIELLE
2209,81GIF,BLOOD CELL DILUENT,DILUANT DE GLOBULES SANGUINS
2210,81GJR,"CONTROL, RED CELL","CONTROLE, GLOBULE ROUGE"
2211,81GLY,OXIMETER TO MEASURE HEMOGLOBIN,OXYMETRE POUR MESURER L'HEMOGLOBINE
2212,81JPE,"ANTITHROMBIN III, TWO STAGE CLOTTING TIME ASSAY","ANTITHROMBINE III, DOSAGE CHRONOMETRIQUE EN DEUX TEMPS"
2213,81JWO,"MEASURING DEVICE, BLOOD VOLUME",DISPOSITIF DE MESURE DU VOLUME SANGUIN
2214,81KQG,"INSTRUMENT, COAGULATION",INSTRUMENT DE COAGULATION
2215,81KSA,CALIBRATOR FOR RED CELL AND WHITE CELL COUNTING,CALIBREUR POUR LA NUMERATION DES GLOBULES ROUGES ET DES GLOBULES BLANCS
2216,81MTN,"TEST, SYPHILIS, TREPONEMAL",TEST TREPONEMAL DE DEPISTAGE DE LA SYPHILIS
2217,81RLF,PIPETTER,PIPETTE
2218,81SAN,"ANALYZER, COAGULATION, WHOLE BLOOD",ANALYSEUR DE COAGULATION DU SANG ENTIER
2219,81UJR,"IDENTIFICATION PANEL, BLOOD CELL",TABLEAU D'IDENTIFICATION DES GLOBULES SANGUINS
2220,82AEE,ANTI-NUCLEAR ANTIBODY DETECTIONASSAY,TEST DE DETECTION DES ANTICORPS ANTI-NUCLEAIRES
2221,82AQE,MALARIA PARASITE IN BLOOD,PARASITE DE LA MALARIA DANS LE SANG
2222,82CFN,"IMMUNOGLOBULINS (G, A, M), NEPHELOMETRIC METHOD","DOSAGE NEPHELOMETRIQUE DES IMMUNOGLOBULINES (G, A, M)"
2223,82DAD,"HAPTOGLOBIN, ANTIGEN, ANTISERUM, CONTROL","HAPTOGLOBINE, ANTIGENE, ANTISERUM, CONTROLE"
2224,82DBF,"FERRITIN, ANTIGEN, ANTISERUM, CONTROL","FERRITINE, ANTIGENE, ANTISERUM, CONTROLE"
2225,82DES,"LAMBDA, FITC, ANTIGEN, ANTISERUM, CONTROL","LAMBDA, FITC, ANTIGENE, ANTISERUM, CONTROLE"
2226,82DFG,"LAMBDA, RHODAMINE, ANTIGEN, ANTERSERUM, CONTROL","LAMBDA, RHODAMINE, ANTIGENE, ANTISERUM, CONTROLE"
2227,82DHC,"SYSTEMIC LUPUS ERYTHEMATOSUS, TEST SYSTEM",SYSTEME DE DEPISTAGE DU LUPUS ERYTHEMATEUX DISSEMINE
2228,82JNM,"TRANSFERRIN, IMMUNOCHEMICAL",DOSAGE IMMUNOCHIMIQUE DE LA TRANSFERRINE
2229,82JZG,BETA-2-MICROGLOBULIN IMMUNOLOGICAL TEST SYSTEM,SYSTEME DE DOSAGE IMMUNOLOGIQUE DE LA BETA-2-MICROGLOBULINE
2230,82JZH,"FACTOR B, ANTIGEN, ANTISERUM, CONTROL","FACTEUR B, ANTIGENE, ANTISERUM, CONTROLE"
2231,82KTN,INFECTIOUS MONONUCLEOSIS TEST SYSTEM,SYSTEME DE DEPISTAGE DE LA MONONUCLEOSE INFECTIEUSE
2232,82KTO,IGG IMMUNOASSAY REAGENTS,REACTIFS POUR DOSAGE IMMUNOLOGIQUE IGG
2233,82MME,"PROTEINS, BETA AMYLOID AND PRECURSOR",PROTEINES BETA-AMYLOIDE ET PRECURSEUR
2234,82WQF,"ANTI-THYROID, ANTIBODY, INDIRECT IMMUNOFLUORESCENT",TEST DE DETECTION DES ANTICORPS ANTI-THYROIDIENS PAR IMMUNOFLUORESCENCE INDIRECTE
2235,83AHO,HERPES SIMPLEX VIRUS TEST,TEST DE DEPISTAGE DU VIRUS DE L'HERPES SIMPLEX
2236,83AHS,RUBELLA ASSAY,TEST DE DEPISTAGE DE LA RUBEOLE
2237,83AIB,"CULTURE MEDIA, BIOLOGICAL FLUIDS STERILITY TEST","MILIEU DE CULTURE, LIQUIDES BIOLOGIQUES, TEST DE STERILITE"
2238,83AKF,"CULTURE MEDIA, MYCOBACTERIA","MILIEU DE CULTURE, MYCOBACTERIE"
2239,83GMN,"ANTIGEN, CF, TOXOPLASMA GONDII","ANTIGENE CF, TOXOPLASMA GONDII"
2240,83GNB,"ANTISERUM, ALL TYPES, SHIGELLA SPP.","ANTISERUM, TOUS LES TYPES, SHIGELLA SPP."
2241,83GQR,"ANTIGEN, HA (INCLUDING HA CONTROL), PARAINFLUENZA VIRUS 1-4",ANTIGENE HA (Y COMPRIS LE CONTROLE HA) DU PARAVIRUS DE LA GRIPPE 1-4
2242,83GRP,"ANTISERUM, ALL TYPES, H. INFLUENZAE",ANTISERUM DE H. INFLUENZAE (TOUS LES TYPES)
2243,83GTZ,"ANTISERA, ALL GROUPS, STREPTOCOCCUS SPP.",ANTISERUMS DE STREPTOCOCCUS SPP. (TOUS LES GROUPES)
2244,83JSB,"CULTURE MEDIA, VITAMIN ASSAY","MILIEU DE CULTURE, TITRAGE DES VITAMINES"
2245,83JSN,"CULTURE MEDIA, PROPAGTING TRANSPORT","MILIEU DE CULTURE, TRANSPORT PAR PROPAGATION"
2246,83JSX,"IDENTIFICATION KIT, NEISSERIA GONORRHOEAE",TROUSSE D'IDENTIFICATION DU GONOCOQUE
2247,83JTQ,"INCUBATORS/WATER BATHS, ALL",INCUBATEURS/BAINS-MARIE (TOUS)
2248,83JTR,QUALITY CONTROL KIT FOR CULTURE MEDIA,TROUSSE DE CONTROLE DE LA QUALITE POUR MILIEU DE CULTURE
2249,83LFY,"ENZYME LINKED IMMUNOABSORBENT ASSAY, VARICELLA-ZOSTER",DOSAGE IMMUNOENZYMATIQUE DU VIRUS VARICELLE-ZONA
2250,83LIB,"DIAGNOSTIC DEVICES, GENERAL PURPOSE MICROBIOLOGY","INSTRUMENTS DIAGNOSTIQUES, MICROBIOLOGIE GENERALE"
2251,83LKA,"CULTURE MEDIA, ANTIMICROBIAL SUSCEPTIBILITY TEST",MILIEU DE CULTURE POUR TEST DE SENSIBILITE AUX ANTIMICROBIENS
2252,83MKZ,"DNA-PROBE, NUCLEIC ACID AMPLIFICATION, CHLAMYDIA","SONDE A ADN, AMPLIFICATION DES ACIDES NUCLEIQUES, CHLAMYDIA"
2253,83MSQ,"TEST, UREA (BREATH OR BLOOD)",TEST RESPIRATOIRE OU SANGUIN A L'UREE
2254,83MYI,"SYSTEM, TEST, GENOTYPIC DETECTION, RESISTANT MARKERS,STAPHYLOCOCCUS","SYSTEME DE TEST, DETECTION GENOTYPIQUE, MARQUEURS DE RESISTANCE, STAPHYLOCOQUES"
2255,83QCC,"AUTOMATED SYSTEM, MICROBIOLOGICAL",SYSTEME MICROBIOLOGIQUE AUTOMATISE
2256,83VCS,"DISPENSER, ANTIBIOTIC SENSITIVITY DISC","DISTRIBUTEUR, DISQUE POUR TEST DE SENSIBILITE AUX ANTIBIOTIQUES"
2257,83ZZZ,MICROBIOLOGY GENERAL CODE,CODE GENERAL DE MICROBIOLOGIE
2258,84GWM,"DEVICE, INTRACRANIAL PRESSURE MONITORING",DISPOSITIF DE SURVEILLANCE DE LA PRESSION INTRACRANIENNE
2259,84GYA,"TESTER, ELECTRODE/LEAD, ELECTROENCEPHALOGRAPH",VERIFICATEUR DE FONCTION D'ELECTRODES POUR ELECTROENCEPHALOGRAPHE
2260,84GZA,"STIMULATOR, CEREBELLAR, IMPLANTED",STIMULATEUR CEREBELLEUX IMPLANTE
2261,84GZE,"STIMULATOR, DIAPHRAGMATIC/PHRENIC NERVE, IMPLANTED",STIMULATEUR IMPLANTE DU NERF DIAPHRAGMATIQUE/PHRENIQUE
2262,84GZK,"ELECTRODE, NASOPHARYNGEAL",ELECTRODE NASOPHARYNGEE
2263,84HBA,NEUROSURGICAL PADDIE,COMPRESSE NEUROCHIRURGICALE
2264,84HBC,"MOTOR, DRILL, ELECTRIC",MOTEUR DE PERCAGE ELECTRIQUE
2265,84HBD,"HANDPIECE (BRACE), DRILL",FOREUSE A MAIN (VILEBREQUIN)
2266,84HBE,"POWERED SIMPLE DRILLS, BURRS, TREPHINES & ACCESSORIES","FOREUSES, FRAISES ET TREPANS SIMPLES MOTORISES ET ACCESSOIRES"
2267,84JXG,"SHUNT, CENTRAL NERVOUS SYSTEM AND COMPONENTS","SHUNT, SYSTEME NERVEUX CENTRAL, ET COMPOSANTS"
2268,84JXK,"STIMULATOR, CRANIAL ELECTROTHERAPY",STIMULATEUR PAR ELECTROTHERAPIE CRANIENNE
2269,84LGW,TOTALLY IMPLANTED SPINAL CORD STIMULATOR FOR PAIN RELIEF,STIMULATEUR TOTALEMENT IMPLANTE DE LA MOELLE EPINIERE DESTINE AU SOULAGEMENT DE LA DOULEUR
2270,84MZN,"STIMULATOR, THERAPEUTIC, ELECTROMAGNETIC",STIMULATEUR ELECTROMAGNETIQUE THERAPEUTIQUE
2271,84QUT,"UNIT, EVOKED RESPONSE",APPAREIL A POTENTIEL EVOQUE
2272,84RHN,"KIT, MYELOGRAM",TROUSSE POUR MYELOGRAMME
2273,84ZZZ,NEUROLOGY GENERAL CODE,CODE GENERAL DE NEUROLOGIE
2274,85HCY,"CURETTE, UTERINE",CURETTE UTERINE
2275,85HEH,"SET,ANESTHESIA,PARACERVICAL",TROUSSE D'ANESTHESIE PARACERVICALE
2276,85HEX,COLPOSCOPE (AND COLPOMICROSCOPE),COLPOSCOPE (ET COLPOMICROSCOPE)
2277,85HFY,"BAND, TUBAL OCCLUSION (SEE 85KNH)",BANDE D'OCCLUSION DES TROMPES (VOIR 85KNH)
2278,85HGL,"TRANSDUCER, ULTRASONIC, OBSTETRIC",TRANSDUCTEUR OBSTETRIQUE A ULTRASONS
2279,85HIF,"INSUFFLATOR, LAPAROSCOPIC (AND ACCESSORIES)",INSUFFLATEUR LAPAROSCOPIQUE (ET ACCESSOIRES)
2280,85KXO,"MONITOR, PRESSURE, INTRAUTERINE",MONITEUR DE PRESSION INTRA-UTERINE
2281,85MAA,"MONITOR, FETAL DOPPLER ULTRASOUND",MONITEUR FOETAL DOPPLER A ULTRASONS
2282,85SAG,"THERMOGRAPHIC DEVICE, INFRARED",DISPOSITIF DE THERMOGRAPHIE INFRAROUGE
2283,85ULY,"KIT, SEX SELECTION",TROUSSE DE SELECTION DE SEXE
2284,85WJD,"NEEDLE, BIOPSY, MAMMARY",AIGUILLE DE BIOPSIE MAMMAIRE
2285,86FWO,"PROSTHESIS, EYE, INTERNAL",PROTHESE OCULAIRE INTERNE
2286,86HNK,"PROBE, TRABECULOTOMY",SONDE POUR TRABECULOTOMIE
2287,86HOC,"CLIP, IRIS RETRACTOR",PINCE DE RETRACTEUR D'IRIS
2288,86HPA,"FRAME, TRIAL, OPHTHALMIC",MONTURE D'ESSAI OPHTALMIQUE
2289,86HPQ,"HEADLAMP, OPERATING, AC-POWERED",LAMPE FRONTALE D'OPERATION SUR SECTEUR
2290,86HPX,"LENS, CONTACT (POLYMETHYLMETHACRYLATE)",LENTILLE DE CONTACT EN METHACRYLATE DE POLYMETHYLE
2291,86HPZ,"IMPLANT, EYE SPHERE",IMPLANT DE SPHERE OCULAIRE
2292,86HQD,"LENS, CONTACT (OTHER MATERIAL) - DAILY",LENTILLE DE CONTACT (AUTRE MATERIAU) - QUOTIDIENNE
2293,86HQO,"UNIT, CAUTERY, THERMAL, AC-POWERED",CAUTERE THERMIQUE SUR SECTEUR
2294,86KYE,CONTACT LENS INSERTER/REMOVER,OUTIL A INSERER ET A RETIRER LES LENTILLES DE CONTACT
2295,86MUW,"LENS, CONTACT (ORTHOKERATOLOGY)",LENTILLE DE CONTACT (ORTHOKERATOLOGIE)
2296,86QVI,EYEGLASSES,LUNETTES
2297,86SFB,"ANALYSER, VISUAL FUNCTION",ANALYSEUR DE FONCTION VISUELLE
2298,86UBD,"LENS, INTRAOCULAR, POSTERIOR CHAMBER","LENTILLE INTRAOCULAIRE, CHAMBRE POSTERIEURE"
2299,87AMG,STAPLING SET,TROUSSE D'AGRAFAGE
2300,87AMM,"IMMOBILIZER, HIP, POST-OP, ABDUCTION",IMMOBILISATEUR POUR ABDUCTION POSTOPERATOIRE DE LA HANCHE
2301,87AMO,"NAIL/PLATE, INTRODUCER","CLOU/PLAQUE, INTRODUCTEUR"
2302,87AOU,"RING/SHELL, PROTRUSIO","ANNEAU/COQUE, PROTRUSION"
2303,87GWH,DYNAMOMETER,DYNAMOMETRE
2304,87HRR,"SCISSORS, ORTHOPEDIC",CISEAUX ORTHOPEDIQUES
2305,87HTX,RONGEUR,RONGEUR
2306,87HXK,"HOLDER, NEEDLE",PORTE-AIGUILLE
2307,87HXW,BENDER,CINTREUSE
2308,87JDW,"PIN, FIXATION, THREADED",BROCHE DE FIXATION FILETEE
2309,87KWL,"PROSTHESIS, HIP, HEMI-, FEMORAL, METAL, NON-CEMENTED","HEMIPROTHESE FEMORALE DE HANCHE, NON CIMENTEE, EN METAL"
2310,87KXE,"PROSTHESIS, WRIST, HEMI-, ULNAR","HEMIPROTHESE DE POIGNET, ULNAIRE"
2311,87KYM,"PROSTHESIS, SHOULDER, HEMI-, GLENOID, METALLIC CEMENTED","HEMIPROTHESE D'EPAULE, GLENOIDE, CIMENTEE, EN METAL"
2312,87LMJ,"STIMULATION, XENOGRAFTS FOR BONE GROWTH","STIMULATION, XENOGREFFES POUR LA CROISSANCE DES OS"
2313,87MBM,"PROSTHESIS, HIP, SEMI-CONSTRAINED OR HEMI-, METAL/PTFECOATED/POLYMER, CEMENTED, OR UNCEMENTED","PROTHESE OU HEMIPROTHESE SEMI-CONTRAINTE DE HANCHE, CIMENTEE OU NON CIMENTEE, EN METAL/REVETEMENT PTFE/POLYMERE"
2314,87MIL,"PROSTHESIS, HIP, SEMI-CONST.M/P , UNCEMENTED, BONE MORPH.PROT.","PROTHESE SEMI-CONTRAINTE DE HANCHE, NON CIMENTEE, EN METAL/POLYMERE, BMP (FACTEUR DE CROISSANCE)"
2315,87QGU,"CART, ORTHOPEDIC SUPPLY (CAST)",CHARIOT A FOURNITURES ORTHOPEDIQUES (PLATRE)
2316,87QHE,CAST,PLATRE
2317,87QRE,"DRILL, BONE",FORET A OS
2318,87RBK,"IMMOBILIZER, KNEE",DISPOSITIF D'IMMOBILISATION DU GENOU
2319,87RMR,"PROSTHESIS, FOOT",PROTHESE DE PIED
2320,87RWP,"STRAP, CLAVICLE",SUPPORT CLAVICULAIRE
2321,87RYZ,"TABLE, TRACTION",TABLE DE TRACTION
2322,87TAI,"BLADE, SAW, CAST CUTTING (SEE 87LGH)",LAME DE SCIE A PLATRE (VOIR 87LGH)
2323,87WUS,"SYSTEM, TRACTION, ARTHROSCOPY",SYSTEME DE TRACTION ARTHROSCOPIQUE
2324,88GJO,SLIDES AND COVERSLIPS,LAMES ET COUVRE-OBJETS
2325,88GJY,MICROSCOPE,MICROSCOPE
2326,88IDZ,"CASSETTES, TISSUE",CASSETTES D'INCLUSION
2327,88IGC,FORMALIN-SALINE,SOLUTION SALINE FORMOLEE
2328,88QJC,"CENTRIFUGE, REFRIGERATED",CENTRIFUGE REFRIGERE
2329,89BYQ,"ERGOMETER, TREADMILL","ERGOMETRE, TAPIS ROULANT"
2330,89EGJ,"DEVICE, IONTOPHORESIS, OTHER USES","DISPOSITIF A IONTOPHORESE, AUTRES USAGES"
2331,89GWP,ELECTROMYOGRAPH,ELECTROMYOGRAPHE
2332,89IKK,"SYSTEM, ISOKINETIC TESTING AND EVALUATION",SYSTEME DE TEST ET D'EVALUATION ISOCINETIQUE
2333,89ILE,"SLING, ARM, OVERHEAD SUPPORTED",ECHARPE DE BRAS SUSPENDUE AU-DESSUS DE LA TETE
2334,89IMF,"UNIT, CHILLING",APPAREIL DE REFROIDISSEMENT
2335,89IMI,"DIATHERMY, ULTRASONIC, FOR USE IN APPLYING THERAPEUTIC DEEPHEAT","DIATHERMIE A ULTRASONS, POUR APPLICATION DE CHALEUR PROFONDE THERAPEUTIQUE"
2336,89IMK,"WHEELCHAIR, STAIR CLIMBING",FAUTEUIL ROULANT DU TYPE POUVANT MONTER UN ESCALIER
2337,89INE,"SLING, OVERHEAD SUSPENSION, WHEELCHAIR",ECHARPE SUSPENDUE AU-DESSUS DE LA TETE POUR FAUTEUIL ROULANT
2338,89IPD,"MASSAGER, BATTERY-POWERED",DISPOSITIF DE MASSAGE A PILE
2339,89IPS,CANE,CANNE
2340,89IPT,"ORTHOSIS, THORACIC",ORTHESE THORACIQUE
2341,89IQO,"DEVICE, PROSTHESIS ALIGNMENT",DISPOSITIF D'ALIGNEMENT DE PROTHESE
2342,89IRS,"HEAD HALTER, TRACTION",COLLIER DE TRACTION
2343,89ISC,"EXERCISER, PASSIVE, MEASURING",APPAREIL D'EXERCICE PASSIF AVEC INSTRUMENT DE MESURE
2344,89ISN,CABLE,CABLE
2345,89ISR,"BAND OR BELT, PELVIC SUPPORT",BANDE OU CEINTURE DE SUPPORT PELVIEN
2346,89ITN,"SPLINT, DENIS BROWN",ATTELLE DE DENIS-BROWN
2347,89ITW,"JOINT, ANKLE, EXTERNAL BRACE","ARTICULATION, CHEVILLE, ORTHESE EXTERNE"
2348,89KNO,"ACCESSORIES, WHEELCHAIR",ACCESSOIRES DE FAUTEUIL ROULANT
2349,89MOZ,"ACID, HYALURONIC, INTRAARTICULAR",ACIDE HYALURONIQUE INTRA-ARTICULAIRE
2350,89UEC,"HOT/COLD, TEMPERATURE THERAPY",THERAPIE THERMIQUE PAR LE CHAUD OU LE FROID
2351,89UED,"PAD, HEATING, CHEMICAL",COUSSIN CHAUFFANT CHIMIQUE
2352,90APQ,"COLLIMATOR, THERAUPEUTIC X-RAY, OTHER",AUTRE COLLIMATEUR DE RADIOGRAPHIE THERAPEUTIQUE
2353,90IWG,"SEED, ISOTOPE, GOLD, TITANTIUM, PLATINUM","GRAINS D'ISOTOPES D'OR, DE TITANE OU DE PLATINE"
2354,90IXA,"CASSETTE, RADIOGRAPHIC FILM",CASSETTE RADIOGRAPHIQUE
2355,90IXR,"TABLE, RADIOGRAPHIC, TILTING",TABLE RADIOGRAPHIQUE BASCULANTE
2356,90IZI,"SYSTEM, X-RAY, ANGIOGRAPHIC",SYSTEME ANGIOGRAPHIQUE A RAYONS X
2357,90KPS,"SYSTEM, TOMOGRAPHY, COMPUTED, EMISSION",TOMOGRAPHE A EMISSION INFORMATISE
2358,90KXJ,"TABLE, RADIOLOGIC",TABLE RADIOLOGIQUE
2359,90LMD,"SYSTEM, DIGITAL IMAGE COMMUNICATIONS",SYSTEME DE COMMUNICATION D'IMAGES NUMERIQUES
2360,90MWE,"SYSTEM, COMPUTER, DIGITIZER FOR SCREENING MAMMOGRAMS",NUMERISEUR INFORMATISE POUR LES MAMMOGRAPHIES DE DEPISTAGE
2361,90QMD,"COMPUTER, NUCLEAR MEDICINE",ORDINATEUR DE MEDECINE NUCLEAIRE
2362,90TEM,SHIELD RADIO FREQUENCY,ECRAN RADIOFREQUENCE
2363,90TEN,"SHIELD, X-RAY, PORTABLE",ECRAN PORTABLE A RAYONS X
2364,90ULI,"SCANNER, POSITRON EMISSION TOMOGRAPHY (PET)",APPAREIL DE TOMOGRAPHIE PAR EMISSION DE POSITRONS (TEP)
2365,90UMF,RADIOGRAPHIC PICTURE ARCHIVING/COMMUNICATION SYSTEM (PACS),SYSTEME D'ARCHIVAGE ET DE COMMUNICATION D'IMAGES RADIOGRAPHIQUES
2366,90VHB,"PHANTOM, COMPUTED AXIAL TOMOGRAPHY (CAT, CT)",FANTOME DE TOMOGRAPHIE AXIALE INFORMATISEE
2367,90VHF,"TUBE, X-RAY",TUBE A RAYONS X
2368,90VHG,"COMPUTER, ULTRASOUND",ORDINATEUR A ULTRASONS
2369,90VIM,"MAGNET, SUPERCONDUCTING, NMR (MAGNETIC RESONANCE IMAGING)",AIMANT SUPRACONDUCTEUR A RESONANCE MAGNETIQUE NUCLEAIRE (RMN)
2370,90VLE,"RADIOGRAPHIC UNIT, DIGITAL SUBTRACTION, ANGIOGRAPHIC (DSA)","APPAREIL RADIOGRAPHIQUE, ANGIOGRAPHIE NUMERIQUE AVEC SOUSTRACTION (ANS)"
2371,90WRT,"MAGNET, PERMANENT,MRI (MAGNETIC RESONANCE IMAGING)","AIMANT PERMANENT, IRM (IMAGERIE PAR RESONANCE MAGNETIQUE)"
2372,91AEG,VANCOMYCIN ASSAY,TEST DE VANCOMYCINE
2373,91DIO,"ENZYME IMMUNOASSAY, COCAINE AND COCAINE METABOLITES","DOSAGE IMMUNOENZYMATIQUE, COCAINE ET METABOLITES DE COCAINE"
2374,91DJC,"THIN LAYER CHROMATOGRAPHY, METAMPHETAMINE","CHROMATOGRAPHIE SUR COUCHE MINCE, METAMPHETAMINE"
2375,91DKZ,"ENZYME IMMUNOASSAY, AMPHETAMINE","DOSAGE IMMUNOENZYMATIQUE, AMPHETAMINE"
2376,91JNI,"ACETYLCHOLINE IODINE AND DTNB, PSEUDOCHOLINESTERASE","IODURE D'ACETYLCHOLINE ET DTNB, PSEUDOCHOLINESTERASE"
2377,91JXM,"ENZYME IMMUNOASSAY, BENZODIAZEPINE","DOSAGE IMMUNOENZYMATIQUE, BENZODIAZEPINE"
2378,91JXP,"THIN LAYER CHROMATOGRAPHY, DRUGS OF ABUSE (DEDICATEDINSTRUMENTS)","CHROMATOGRAPHIE SUR COUCHE MINCE, DROGUES TOXICOMANOGENES (INSTRUMENTS SPECIALISES)"
2379,91LEG,"ENZYME IMMUNOASSAY, VALPROIC ACID","DOSAGE IMMUNOENZYMATIQUE, ACIDE VALPROIQUE"
2380,99YYY,DATA INSUFFICIENT,DONNEES INSUFFISANTES
2381,73BSF,"ABSORBER, CARBON-DIOXIDE",ABSORBEUR DE DIOXYDE DE CARBONE
2382,73BSO,"CATHETER, CONDUCTION, ANESTHETIC",CATHETER POUR ANESTHESIE DE CONDUCTION
2383,73BSR,"STYLET, TRACHEAL TUBE",MANDRIN POUR TUBE ENDOTRACHEAL
2384,73BSY,"CATHETER, SUCTION, TRACHEOBRONCHIAL",CATHETER D'ASPIRATION TRACHEOBRONCHIQUE
2385,73BWC,"NEEDLE, EMERGENCY AIRWAY",AIGUILLE A CRICOTHYROIDOTOMIE
2386,73BYE,"ATTACHMENT, BREATHING, POSITIVE END EXPIRATORY PRESSURE",ACCESSOIRE DE SYSTEME RESPIRATOIRE POUR VENTILATION A PRESSION POSITIVE EN FIN D'EXPIRATION
2387,73BYI,"PERCUSSOR, POWERED-ELECTRIC","PERCUTEUR, ELECTRIQUE"
2388,73BYT,"VENTILATOR, EXTERNAL BODY, NEGATIVE PRESSURE, ADULT(CUIRASS)",APPAREIL DE VENTILATION EN PRESSION NEGATIVE EXTERNE POUR ADULTE (CUIRASSE)
2389,73BYW,"DEVICE, REBREATHING",DISPOSITIF DE REINHALATION
2390,73BZB,"CATHETER, NASAL, OXYGEN",CATHETER NASAL A OXYGENE
2391,73BZW,"STETHOSCOPE, ESOPHAGEAL",STETHOSCOPE OESOPHAGIEN
2392,73CAD,"VAPORIZER, ANESTHESIA, NON-HEATED","VAPORISATEUR POUR ANESTHESIE, NON CHAUFFANT"
2393,73CAG,"CIRCULATOR, BREATHING CIRCUIT",CIRCULATEUR POUR CIRCUIT RESPIRATOIRE
2394,73CAT,"CANNULA, NASAL, OXYGEN",CANULE NASALE A OXYGENE
2395,73CBE,"KIT, SUCTION, AIRWAY",NECESSAIRE D'ASPIRATION DES VOIES AERIENNES
