PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
84GZI,STIMULATOR NEUROMUSCULAR EXTERNAL FUNCTIONAL,STIMULATEUR NEUROMUSCULAIRE FONCTIONNEL EXTERNE
84HAS,NEEDLE NEUROSURGICAL SUTURE,AIGUILLE A SUTURE NEUROCHIRURGICALE
84IKA,ELECTRODE BIOPOTENTIAL SURFACE COMPOSITE,ELECTRODE DE BIOPOTENTIEL COMPOSITE DE SURFACE
84IKS,ELECTRODE METALLIC WITH SOFT PAD COVERING,ELECTRODE METALLIQUE AVEC COMPRESSE DOUCE
84JXI,CUFF NERVE,MANCHON POUR NERF
84MFR,STIMULATOR BRAIN IMPLANTED FOR BEHAVIOR MODIFICATION,STIMULATEUR CEREBRAL IMPLANTE POUR MODIFICATION DU COMPORTEMENT
84QTY,ELEVATOR NEUROSURGICAL,ELEVATEUR NEUROCHIRURGICAL
84WVA,CRANIOTOME,CRANIOTOME
85HDS,INTRODUCER CONTRACEPTIVE DIAPHRAGM,INTRODUCTEUR DE DIAPHRAGME CONTRACEPTIF
85HDW,DIAPHRAGM CONTRACEPTIVE (AND ACCESSORIES),DIAPHRAGME CONTRACEPTIF (ET ACCESSOIRES)
85HFF,ASPIRATOR ENDOMETRIAL,ASPIRATEUR ENDOMETRIAL
85HGB,CLIP TUBAL OCCLUSION (SEE 85KNH),PINCE D'OCCLUSION DES TROMPES (VOIR 85KNH)
85HGW,SAMPLER BLOOD FETAL,ECHANTILLONNEUR DE SANG FOETAL
85HHK,CURETTE SUCTION ENDOMETRIAL (AND ACCESSORIES),CURETTE D'ASPIRATION ENDOMETRIALE (ET ACCESSOIRES)
85HHL,PAD MENSTRUAL SCENTED,SERVIETTE MENSTRUELLE PARFUMEE
85HHP,TABLE OBSTETRICAL MANUAL (AND ACCESSORIES),TABLE OBSTETRIQUE MANUELLE (ET ACCESSOIRES)
85MCN,BARRIER ABSORBABLE ADHESION,BARRIERE ANTI-ADHERENCE ABSORBABLE
85MCR,DILATOR CERVICAL HYGROSCOPIC SYNTHETIC,DILATATEUR CERVICAL HYGROSCOPIQUE SYNTHETIQUE
85MFD,CANNULA INTRAUTERINE INSEMINATION,CANULE D'INSEMINATION INTRA-UTERINE
85MOL,CONDOM NON-LATEX,CONDOM AUTRE QU'EN LATEX
85QSZ,ELECTRODE FETAL SCALP,ELECTRODE DE CUIR CHEVELU FOETAL
86FCT,HEADLIGHT FIBEROPTIC FOCUSING,LAMPE FRONTALE A FIBRES OPTIQUES A ECLAIRAGE FOCALISABLE
86HJB,INSTRUMENT MEASURING CORNEAL RADIUS,INSTRUMENT DE MESURE DU RAYON DE LA CORNEE
86HJK,LENS CONTACT POLYMETHYLMETHACRYLATE DIAGNOSTIC,LENTILLE DE CONTACT DIAGNOSTIQUE EN METHACRYLATE DE POLYMETHYLE
86HLF,DEVICE MEASURING LENS RADIUS OPHTHALMIC,DISPOSITIF OPHTALMIQUE DE MESURE DU RAYON DE LA LENTILLE
86HLG,PUPILLOMETER AC-POWERED,PUPILLOMETRE SUR SECTEUR
86HMR,MARKER OCULAR,MARQUEUR OCULAIRE
86HNZ,CURETTE OPHTHALMIC,CURETTE OPHTALMIQUE
86HOY,SHIELD EYE OPHTHALMIC,PROTECTEUR OCULAIRE OPHTALMIQUE
86HPO,MAGNET AC-POWERED,AIMANT SUR SECTEUR
86HQE,INSTRUMENT VITREOUS ASPIRATION AND CUTTING AC-POWERED,VITREOTOME SUR SECTEUR
86HQG,LENS SPECTACLE NON-CUSTOM (PRESCRIPTION),VERRE DE LUNETTES NON PERSONNALISE (SUR ORDONNANCE)
86HQP,UNIT CAUTERY THERMAL BATTERY-POWERED,CAUTERE THERMIQUE A PILE
86HRP,PEN MARKING SURGICAL,MARQUEUR CHIRURGICAL
86KYF,IMPLANT EYE VALVE,IMPLANT DE VALVE DE DRAINAGE OCULAIRE
86LPL,LENSES SOFT CONTACT DAILY WEAR,LENTILLES DE CONTACT SOUPLES A PORT QUOTIDIEN
86LWL,FLUID INTRAOCULAR,LIQUIDE INTRAOCULAIRE
86LYL,ACCESSORIES TO CONTACT LENS SOLUTIONS,ACCESSOIRES SOLUTIONS POUR LENTILLES DE CONTACT
86RMH,PROBE OPHTHALMIC,SONDE OPHTALMIQUE
86TCB,EYEGLASSES SAFETY,LUNETTES DE SECURITE
86ULH,LENS CONTACT BIFOCAL,LENTILLE DE CONTACT BIFOCALE
86WKX,IRRIGATOR OCULAR EMERGENCY,IRRIGATEUR OCULAIRE D'URGENCE
86WXT,SYSTEM MAPPING CORNEAL,SYSTEME DE REPRESENTATION DE LA CORNEE
87AMB,INSTRUMENT HANDLEORTHOPEDIC,POIGNEE D'INSTRUMENT ORTHOPEDIQUE
87AMD,DRILL BONE CEMENT,FOREUSE DE CIMENT OSSEUX
87ANO,PROSTHESIS TRIAL,PROTHESE D'ESSAI
87AST,PROSTHESIS HIP SEMI-CONSTRAINED METAL/CERAMIC/CERAMICUNCEMENTED,PROTHESE SEMI-CONTRAINTE DE LA HANCHE EN METAL/CERAMIQUE/CERAMIQUE NON CIMENTEE
87HSX,PROSTHESIS KNEE FEMOROTIBIAL NON-CONSTRAINED CEMENTEDMETAL/POLYMER,PROTHESE FEMOROTIBIALE NON CONTRAINTE DU GENOU CIMENTEE EN METAL/POLYMERE
87HTW,BIT DRILL,FORET
87HTY,PIN FIXATION SMOOTH,CHEVILLE DE FIXATION LISSE
87HWB,EXTRACTOR,EXTRACTEUR
87HWQ,PASSER,PASSEUR
87HXC,WRENCH,CLE A MOLETTE
87HXS,TWISTER WIRE,TORDEUSE
87KMB,PROSTHESIS KNEE NON-CONSTRAINED (METAL-CARBON REINFORCEDPOLYETHYLENE) CEMENTED,
87KYJ,PROSTHESIS FINGER CONSTRAINED POLYMER,PROTHESE CONTRAINTE DE DOIGT EN POLYMERE
87LMN,CERAMICS CALCIUM TRIPHOSPHATE/HYDROXIAPAPITE NON-LOADBEARING USES,CERAMIQUES TRIPHOSPHATE/HYDROXIAPAPITE DE CALCIUM POUR USAGES NON PORTEURS
87MNI,ORTHOSIS SPINAL PEDICLE FIXATION,ORTHOSE DE FIXATION DU PEDICULE VERTEBRAL
87MOO,ORTHOPEDIC IMPLANT MATERIAL,MATERIAU D'IMPLANT ORTHOPEDIQUE
87QZA,GUIDE DRILL,GUIDE-FORET
87RLE,PILLOW CERVICAL,OREILLER CERVICAL
87RNA,PROSTHESIS KNEE TIBIAL,PIECE TIBIALE DE PROTHESE DE GENOU
87RNB,PROSTHESIS IMPLANTATION INSTRUMENT ORTHOPEDIC,INSTRUMENT ORTHOPEDIQUE D'IMPLANTATION DE PROTHESE
87RUW,SPLINT MOLDED ALUMINIUM,ATTELLE EN ALUMINIUM MOULE
87SBN,UNIT TRACTION POWERED MOBILE,DISPOSITIF DE TRACTION ELECTRIQUE MOBILE
87UBL,PROSTHESIS ANKLE TIBIAL COMPONENT,PROTHESE DE CHEVILLE COMPOSANT TIBIAL
87UBM,PROSTHESIS ELBOW TOTAL,PROTHESE TOTALE DU COUDE
87UBO,PROSTHESIS ELBOW RADIAL COMPONENT,PROTHESE DE COUDE COMPOSANT RADIAL
88IBK,MICROSCOPE FLUORESCENCE/UV,MICROSCOPE A FLUORESCENCE/UV
88KEY,STAINER TISSUE AUTOMATED,COLORATEUR AUTOMATISE DE TISSUS
88KIZ,DISH TISSUE CULTURE,BOITE POUR CULTURE TISSULAIRE
88LDW,FIXATIVE ACID CONTAINING,FIXATIF CONTENANT DE L'ACIDE
89AIU,AID SLEEP ACUPRESSURE,AIDE-SOMMEIL ACUPRESSION
89APB,SAUNA,SAUNA
89EXP,BELT ABDOMINAL,CEINTURE ABDOMINALE
89FPG,PAD HEATING POWERED (SEE 89IRT),COUSSIN CHAUFFANT ELECTRIQUE (VOIR 89IRT)
89IKW,UTENSIL HOMEMAKING,USTENSILE DOMESTIQUE
89ILZ,ACCESSORIES TRACTION,
89IME,PACK HOT OR COLD REUSABLE,COMPRESSE FROIDE OU CHAUDE REUTILISABLE
89INK,STRETCHER WHEELED POWERED,CIVIERE SUR ROUES ELECTRIQUE
89INX,BED AIR FLUIDIZED,LIT A AIR FLUIDISE
89ION,EXERCISER NON-MEASURING,APPAREIL D'EXERCICE SANS INSTRUMENT DE MESURE
89IOO,EXERCISER PASSIVE NON-MEASURING,APPAREIL D'EXERCICE PASSIF SANS INSTRUMENT DE MESURE
89IQQ,JOINT SHOULDER EXTERNAL LIMB COMPONENT,COMPOSANTE EXTERNE D'EPAULIERE ORTHETIQUE POUR ARTICULATION
89IRQ,UNIT HEATING POWERED,APPAREIL DE CHAUFFAGE ELECTRIQUE
89ISH,COMPONENT EXTERNAL LIMB ANKLE/FOOT,
89KTB,DEVICE IONTOPHORESIS,DISPOSITIF D'IONOPHORESE
89LBF,DEVICE THERAPY DIRECT CURRENT LOW INTENSITY,DISPOSITIF DE THERAPIE PAR COURANT DIRECT DE FAIBLE INTENSITE
89MBN,STIMULATOR MUSCLE POWERED INVASIVE,STIMULATEUR DE MUSCLES ELECTRIQUE EFFRACTIF
89MBS,FILLER BONE VOID NON-OSTEOINDUCTION,PRODUIT DE COMBLEMENT OSSEUX PAR UN PROCEDE AUTRE QUE L'OSTEO-INDUCTION
89MPY,FILLER BOVINE PROTEIN MIXTURE BONE MORPHOGENETIC PROTEINSCOLLAGEN CARRIER OSTEOINDUCTION,COMBLEMENT PROTEINES D'ORIGINE BOVINE PROTEINES MORPHO GENETIQUES OSSEUSES VECTEUR DE COLLAGENE OSTEO-INDUCTION
89QYF,GEL ULTRASONIC COUPLING,
90EAL,FILM X-RAY CASSETTE,CASSETTE RADIOLOGIQUE POUR FILMS
90ITY,ASSEMBLY TUBE HOUSING X-RAY DIAGNOSITC,GAINE RADIOGENE DIAGNOSTIQUE
90ITZ,ASSEMBLY TUBE HOUSING X-RAY THERAPEUTIC,GAINE RADIOGENE THERAPEUTIQUE
90IWY,HOLDER HEAD RADIOGRAPHIC,SUPPORT POUR TETE RADIOGRAPHIQUE
90IYE,ACCELERATOR LINEAR MEDICAL,ACCELERATEUR LINEAIRE MEDICAL
90IYQ,PHANTOM FLOOD SOURCE NUCLEAR,FANTOME DE DIFFUSION NUCLEAIRE
90IZE,TUBE IMAGE AMPLIFIER X-RAY,TUBE AMPLIFICATEUR D'IMAGES A RAYONS X
90IZF,SYSTEM X-RAY TOMOGRAPHIC,SYSTEME TOMOGRAPHIQUE A RAYONS X
90IZG,SYSTEM X-RAY PHOTOFLUOROGRAPHIC,SYSTEME PHOTOFLUOROGRAPHIQUE A RAYONS X
90IZX,COLLIMATOR MANUAL RADIOGRAPHIC,COLLIMATEUR MANUEL DE RADIOGRAPHIE
90JAA,SYSTEM X-RAY FLUOROSCOPIC IMAGE-INTENSIFIED,APPAREIL DE RADIOSCOPIE FLUOROSCOPIQUE AVEC RENFORCEMENT D'IMAGE
90KPQ,SYSTEM SIMULATION RADIATION THERAPY,SIMULATEUR DE RADIOTHERAPIE
90KPT,CALIBRATOR DOSE RADIONUCLIDE,CALIBRATEUR DE DOSES DE RADIONUCLEIDES
90KPZ,GENERATOR HIGH VOLTAGE X-RAY THERAPEUTIC,GENERATEUR HAUTE TENSION POUR RADIOTHERAPIE
90LMA,DIGITIZER IMAGE,NUMERISEUR D'IMAGES
90MOS,COIL MAGNETIC RESONANCE SPECIALTY,BOBINE RESONANCE MAGNETIQUE SPECIALITE
90REI,LASER THERAPEUTIC,LASER THERAPEUTIQUE
90ROD,TRANSFER UNIT RADIOISOTOPE,UNITE DE TRANSFERT A RADIO-ISOTOPES
90RSW,SHIELD X-RAY,ECRAN A RAYONS X
90WKA,COMPUTER RADIOGRAPHIC DATA,ORDINATEUR DE DONNEES RADIOGRAPHIQUES
91AGC,ACETAMINOPHEN ASSAY,TEST DE DETECTION DE L'ACETAMINOPHENE
91AGW,AMIKACIN ENZYME IMMUNOASSAY,DOSAGE IMMUNOENZYMATIQUE AMIKACINE
91AIE,CARBAMAZEPINE (SERUM PLASMA) LEVELS,NIVEAUX DE CARBAMAZEPINE (SERUM PLASMA)
91AIP,GEMTAMICIN LEVEL (SERUM URINE AND PLASMA),NIVEAUX DE GEMTAMICINE (SERUM URINE ET PLASMA)
91AJE,QUINIDINE (SERUMPLASMA) LEVEL,NIVEAUX DE QUINIDINE (SERUM PLASMA)
91AUR,VALPORIC ACID (SERUM PLASMA) LEVELS,NIVEAUX D'ACIDE VALPROIQUE (SERUM PLASMA)
91DIH,COLORIMETRY CHOLINESTERASE,COLORIMETRIE CHOLINESTERASE
91DII,COLUMNS GLC,COLONNES CGL
91DIP,ENZYME IMMUNOASSAY DIPHENYLHYDANTOIN,DOSAGE IMMUNOENZYMATIQUE DIPHENYLHYDANTOINE
91DKB,CALIBRATORS DRUG MIXTURE,CALIBREURS COMBINAISON DE DROGUES
91DLB,RADIOIMMUNOASSAY LSD (125-I),DOSAGE RADIO-IMMUNOLOGIQUE LSD (125-I)
91DLG,COATING LIQUID GLC,LIQUIDE DE REVETEMENT CGL
91DLP,RADIOIMMUNOASSAY DIPHENYLHYDANTOIN,DOSAGE RADIO-IMMUNOLOGIQUE DIPHENYLHYDANTOINE
91DLZ,ENZYME IMMUNOASSAY PHENOBARBITAL,DOSAGE IMMUNOENZYMATIQUE PHENOBARBITAL
91LAO,ENZYME IMMUNOASSAY METHOTREXATE,DOSAGE IMMUNOENZYMATIQUE METHOTREXATE
91LBZ,ENZYME IMMUNOASSAY QUINIDINE,DOSAGE IMMUNOENZYMATIQUE QUINIDINE
91LCD,ENZYME IMMUNOASSAY GENTAMICIN,DOSAGE IMMUNOENZYMATIQUE GENTAMICINE
91LDJ,ENZYME IMMUNOASSAY CANNABINOIDS,DOSAGE IMMUNOENZYMATIQUE CANNABINOIDES
91MKW,CYCLOSPORINE,CYCLOSPORINE
99XXX,NOT DEVICE,ARTICLE AUTRE QU'UN DISPOSITIF
73APN,KIT DIAGNOSTIC PULMONARY RADIO AEROSOL,NECESSAIRE DE DIAGNOSTIC POUR RADIOGRAPHIE PULMONAIRE APRES AEROSOL
73AUA,LOCATOR EPIDURAL SPACE,DISPOSITIF DE LOCALISATION DE L'ESPACE EPIDURAL
73BSJ,MASK GAS ANESTHESIA,MASQUE D'ANESTHESIE
73BTB,HOOK ETHER,CROCHET ETHER
73BTC,BAG RESERVOIR (BLOOD ),POCHE A SANG
73BWF,SPIROMETER THERAPEUTIC (INCENTIVE),SPIROMETRE THERAPEUTIQUE (INCITATIF)
73BWJ,LOCATOR ACUPUNCTURE POINT,DETECTEUR DE POINTS D'ACUPUNCTURE
73BYG,MASK OXYGEN,MASQUE A OXYGENE
73BYP,MOUTHPIECE BREATHING,PIECE BUCCALE POUR RESPIRATION
73BYR,TRANSDUCER GAS PRESSURE DIFFERENTIAL,TRANSDUCTEUR DE PRESSION GAZEUSE DIFFERENTIELLE
73CAC,APPARATUS AUTOTRANSFUSION,APPAREIL D'AUTOTRANSFUSION
73CCC,ANALYZER GAS CARBON-DIOXIDE PARTIAL PRESSURE BLOODPHASE INDWELLING,ANALYSEUR DE PRESSION PARTIELLE DE DIOXYDE DE CARBONE DANS LE SANG A DEMEURE
73FQE,REGULATOR OXYGEN MECHANICAL,DETENDEUR D'OXYGENE MECANIQUE
73QAK,ALARM BREATHING CIRCUIT,ALARME DE CIRCUIT RESPIRATOIRE
73QMK,CONTROLLER OXYGEN (BLENDER),REGULATEUR D'OXYGENE (MELANGEUR)
73QNJ,KIT CRICOTHYROTOMY,NECESSAIRE DE CRICOTHYROTOMIE
73RAW,HUMIDIFIER NON-HEATED,HUMIDIFICATEUR NON CHAUFFANT
73SBH,ADAPTER TRACHEOSTOMY TUBE,ADAPTATEUR POUR TUBE DE TRACHEOTOMIE
73SEI,PUMPVACUUMCENTRAL,POMPE A VIDE CENTRALE
73VJB,PUMP INFUSION PATIENT CONTROLLED ANALGESIA,POMPE A PERFUSION POUR AUTO-ANALGESIE
73WJE,RESUSCITATOR EMERGENCY PROTECTIVE INFECTION,REANIMATEUR D'URGENCE AVEC DISPOSITIF DE PROTECTION CONTRE LES INFECTIONS
74ABU,SYSTEM PATIENT MONITORING - MULTI-FUNCTION COMPONENTS,SYSTEME DE SURVEILLANCE DES PATIENTS - COMPOSANTES MULTIFONCTIONNELLES
74ATP,LEAD ELECTRODE CARDIOVERTER DEFIBRILLATOR PERMANENT,SONDE PERMANENTE POUR ELECTRODE DE DEFIBRILLATEUR A SYNCHRONISATION AUTOMATIQUE
74BTZ,RESUSCITATOR CARDIAC MECHANICAL,REANIMATEUR CARDIAQUE MECANIQUE
74BWS,MONITOR PULSE RATE,MONITEUR DE FREQUENCE CARDIAQUE
74BXD,MONITOR BLOOD PRESSURE NON-INDWELLING,TENSIOMETRE NON A DEMEURE
74DPT,PROBE BLOOD FLOW EXTRAVASCULAR,DEBITMETRE SANGUIN EXTRAVASCULAIRE
74DQA,OXIMETERINTRACARDIAC,OXYMETRE INTRACARDIAQUE
74DQB,PHLEBOGRAPH IMPEDANCE,PHLEBOGRAPHE D'IMPEDANCE
74DQK,COMPUTER DIAGNOSTIC PROGRAMMABLE,ORDINATEUR DE DIAGNOSTIC PROGRAMMABLE
74DRN,COUNTER-PULSATING DEVICE EXTERNAL,DISPOSITIF EXTERNE DE CONTREPULSION
74DRS,TRANSDUCER BLOOD PRESSURE EXTRAVASCULAR,TRANSDUCTEUR DE PRESSION ARTERIELLE EXTRAVASCULAIRE
74DSA,CABLE TRANSDUCER AND ELECTRODE PATIENT (INCLUDINGCONNECTOR),CABLE POUR TRANSDUCTEUR OU ELECTRODE RELIE AU PATIENT (Y COMPRIS LE CONNECTEUR)
74DSB,PLETHYSMOGRAPH IMPEDANCE,PLETHYSMOGRAPHE D'IMPEDANCE
74DSY,PROSTHESIS VASCULAR GRAFT OF 6MM AND GREATER DIAMETER,GREFFON (PROTHESE) VASCULAIRE DE 6 MM DE DIAMETRE OU SUPERIEUR A 6 MM
74DTF,TOOLS PACEMAKER SERVICE,OUTILS POUR L'ENTRETIEN DES STIMULATEURS CARDIAQUES
74DTJ,HOLDER HEART VALVE PROSTHESIS,SUPPORT POUR PROTHESE VALVULAIRE CARDIAQUE
74DTP,DEFOAMER CARDIOPULMONARY BYPASS,AGENT ANTI-MOUSSE POUR DERIVATION CARDIOPULMONAIRE
74DTQ,CONSOLE HEART LUNG MACHINE CARDIOPULMONARY BYPASS,CONSOLE DE COEUR-POUMON ARTIFICIEL POUR DERIVATION CARDIOPULMONAIRE
74DWJ,SYSTEM THERMAL REGULATING,SYSTEME DE REGULATION DE LA TEMPERATURE
74HAQ,NEEDLE ANGIOGRAPHIC,AIGUILLE D'ANGIOGRAPHIE
74JCP,PROSTHESIS ARTERIAL GRAFT SYNTHETIC LESS THAN 6 MMDIAMETER,GREFFON (PROTHESE) ARTERIELLE SYNTHETIQUE DE MOINS DE 6 MM DE DIAMETRE
74JOM,PLETHYSMOGRAPH PHOTOELECTRIC PNEUMATIC OR HYDRAULIC,PLETHYSMOGRAPHE PHOTOELECTRIQUE PNEUMATIQUE OU HYDRAULIQUE
74KFQ,MONITOR CARDIAC OUTPUT TREND (ARTERIAL PRESSURE PULSECONTOURS),MONITEUR  POUR LA MESURE DU DEBIT CARDIAQUE PAR ANALYSE DES TENDANCES (COURBES DE LA PRESSION DE PULSATION ARTERIELLE)
74KRA,CATHETER CONTINUOUS FLUSH,CATHETER D'EVACUATION EN CONTINU
74KRH,RING ANNULOPLASTY,PLASTIE ANNULAIRE
74LDF,ELECTRODE PACEMAKER TEMPORARY,ELECTRODE TEMPORAIRE POUR STIMULATEUR CARDIAQUE
74MGC,CATHETERLASERMYOPLASTYCORONARY,CATHETER POUR CARDIOMYOPLASTIE AU LASER
74MMX,DEVICE PERCUTANEOUS RETRIEVAL,DISPOSITIF D'EXTRACTION PERCUTANEE
74MOX,BATTERIES RECHARGEABLE FDA CLASS 2 DEVICES,PILE RECHARGEABLE POUR INSTRUMENTS DE LA CLASSE 2 (FDA)
74MOY,BATTERIES RECHARGEABLE FDA CLASS 3 DEVICES,PLIE RECHARGEABLE POUR INSTRUMENTS DE LA CLASSE 3 (FDA)
74QHI,VALVE CATHETER FLUSH CONTINUOUS,VALVE DE CATHETER D'EVACUATION CONTINUE
74QHL,KIT CATHETERIZATION INTRAVENOUS WINGED,TROUSSE DE CATHETERISME INTRAVEINEUX A AILETTES
74QII,CATHETER PERICARDIUM DRAINAGE,CATHETER DE DRAINAGE PERICARDIQUE
74QPQ,DILATOR VASCULAR (SEE 74DWP),DILATATEUR VASCULAIRE (VOIR 74DWP)
74QZN,MONITOR HEART RATE R-WAVE (ECG),MONITEUR DE FREQUENCE CARDIAQUE ONDE R (ECG)
74ROM,RECORDER LONG TERM ECG PORTABLE (HOLTER MONITOR),ELECTROCARDIOGRAPHE PORTABLE (MONITEUR HOLTER) POUR USAGE A LONG TERME
74THP,PORT VASCULAR ACCESS (SEE 80LJT),CHAMBRE IMPLANTABLE POUR ACCES VASCULAIRE (VOIR 80LJT)
74WTT,LEGGING COMPRESSION INFLATABLE SEQUENTIAL,JAMBIERES PNEUMATIQUES DE COMPRESSION SEQUENTIELLE
75AFI,PROTEIN (URINARY AND CSF),PROTEINES (DANS L'URINE ET DANS LE LCR)
75AGA,THYROXIN BINDING GLOBULIN ASSAY,GLOBULINE LIANT LA THYROXINE DOSAGE
75AHC,THYROID STIMULATING HORMONE ENZYME IMMUNOASSAY TSH,THYREOSTIMULINE (TSH) DOSAGE IMMUNOENZYMATIQUE
75AIJ,LIPASE ASSAY,LIPASE DOSAGE
75AJI,BILIRUBIN DIRECT,BILIRUBINE DIRECTE DOSAGE
75APV,PHOSPHORUS REAGENT OTHER TEST SYSTEM,REACTIF POUR PHOSPHORE AUTRE SYSTEME POUR EPREUVES
75APX,GLUCOSE REAGENT OTHER TEST SYSTEM,REACTIF POUR GLUCOSE AUTRE SYSTEME POUR EPREUVES
75ASA,HCG BY FLUORESCENCE POLARIZATION IMMUNOASSAY,HCG DOSAGE IMMUNOLOGIQUE PAR POLARISATION DE LA FLUORESCENCE
75AVP,CHOLESTEROL TEST KIT  POINT OF CARE OR OTC],CHOLESTEROL NECESSAIRE D'ANALYSE POUR USAGE AU POINT D'INTERVENTION OU EN VENTE LIBRE
75AXZ,PHOSPHORUS ENZYMATIC METHOD,PHOSPHORE DOSAGE ENZYMATIQUE
75CDY,T3 UPTAKE BY RADIOIMMUNOASSAY,TRANSFERT DE LA T3 PAR DOSAGE RADIOIMMUNOLOGIQUE
75CFJ,LACTATE DEHYDROGENASE BY NAD REDUCTION/NADH OXIDATION,LACTICODESHYDROGENASE PAR REDUCTION DE NAD/OXYDATION DE NADH
75CGF,ESTRONE BY RADIOIMMUNOASSAY,OESTRONE PAR DOSAGE RADIOIMMUNOLOGIQUE
75CGL,CREATININE ENZYMATIC ION ELECTRODE BASED,CREATININE ENZYMATIQUE PAR ELECTRODE POUR IONS
75CIG,BILIRUBIN BY DIAZO COLORIMETRY,BILIRUBINE PAR DIAZOIQUE (COLORIMETRIE)
75CIX,ALBUMIN BY BROMCRESOL GREEN DYE - BINDING,ALBUMINE PAR FIXATION DU VERT DE BROMOCRESOL
75CJM,ALDOSTERONE BY RADIOIMMUNOASSAY,ALDOSTERONE PAR DOSAGE RADIOIMMUNOLOGIQUE
75DOT,CENTRIFUGE GENERAL USE,CENTRIFUGEUSE POUR USAGE GENERAL
75GIM,TUBESVACUUM SAMPLEWITH ANTICOAGULANT,TUBES DE PRELEVEMENT SOUS VIDE AVEC ANTICOAGULANT
75JGQ,TOTAL PROTEIN TURBIDIMETRIC,PROTEINES TOTALES PAR TURBIDIMETRIE
75JHJ,HUMAN CHORIONIC GONADOTROPIN AGGLUATINATION METHOD,HORMONE GONADOTROPHINE CHORIONIQUE HUMAINE PAR AGGLUTINATION
75JHO,LIPOPROTEINS ELECTROPHORETIC SEPARATION,LIPOPROTEINES PAR SEPARATION ELECTROPHORETIQUE
75JHW,CPK ISOENZYMES U.V. METHOD,ISOENZYMES DE LA CPK PAR UV
75JIG,AMMONIA ION SPECIFIC ELECTRODE,AMMONIAC PAR ELECTRODE SPECIFIQUE
75JIT,CALIBRATORSECONDARY,ETALON SECONDAIRE
75JIY,IRON (NON-HEME) PHOTOMETRIC METHOD,FER NON HEMINIQUE PAR PHOTOMETRIE
75JJJ,COUNTER (BETA GAMMA) FOR CLINICAL USE,COMPTEUR BETA/GAMMA POUR USAGE CLINIQUE
75JKA,TUBESVIALSSYSTEMSSERUM SEPARATORSBLOOD COLLECTION,TUBES FLACONS DISPOSITIFS ET SEPARATEURS DE SERUM POUR PRELEVEMENT DE SANG
75JLG,FATTY ACIDS CONVERSION TO FERRIC HYDROXYMATES(COLORIMETRIC),ACIDES GRAS PAR CONVERSION EN HYDROXAMATES FERRIQUES (COLORIMETRIE)
75JMO,IRON BINDING CAPACITY FERROZINE (COLORIMETRIC),CAPACITE DE FIXATION DU FER PAR FERROZINE (COLORIMETRIE)
75JQF,IRON BINDING CAPACITY BY BATHOPHENANTHROLINE,CAPACITE DE FIXATION DU FER PAR BATHOPHENANTHROLINE
75JZN,HUMAN CHORIONIC GONADOTROPIN (RIA) SYSTEMS,HORMONE GONADOTROPHINE CHORIONIQUE HUMAINE DISPOSITIF DE DOSAGE IMMUNORADIOLOGIQUE
75KNK,URIC ACID BY URICASE (COLORIMETRIC),ACIDE URIQUE PAR URICASE (COLORIMETRIE)
75LBT,ELECTROPHORESIS CHOLESTEROL VIA ESTERASE-OXIDASE HDL,CHOLESTEROL HDL PAR ESTERASE OXYDASE ET ELECTROPHORESE
75LPS,HOMOCYSTINE ASSAY,HOMOCYSTINE PAR DOSAGE
75MGX,SYSTEM TEST DRUG ABUSE,DISPOSITIF DE DEPISTAGE D'ABUS DE DROGUES
75QXU,EVACUATOR FUME,HOTTE DE LABORATOIRE
75UEI,ANALYZER CHEMISTRY FLUORESCENCE IMMUNOASSAY,ANALYSEUR BIOCHIMIQUE POUR DOSAGE PAR IMMUNOFLUORESCENCE
75UHC,PEPTIDES,PEPTIDES
75UKD,STICK URINALYSIS TEST,BATONNET POUR ANALYSE D'URINE
75ULK,ANALYZER CHEMISTRY THERAPEUTIC DRUG MONITOR,ANALYSEUR BIOCHIMIQUE MONITEUR DE DOSAGE DE MEDICAMENTS
75VEP,ANALYZER CHEMISTRY URINE,ANALYSEUR BIOCHIMIQUE URINE
75VIP,TEST CYSTIC FIBROSIS,EPREUVE DE DEPISTAGE DE LA FIBROSE KYSTIQUE
75VIQ,TEST MYOCARDIAL INFARCTION,EPREUVE DE DEPISTAGE D'UN INFARCTUS DU MYOCARDE
75VKK,ENZYME IMMUNOASSAY OTHER,DOSAGE IMMUNOENZYMATIQUE AUTRE
75WKU,PIPETTE,PIPETTE
75WMG,ANALYZER CHEMISTRY NEPHELOMETRIC IMMUNOASSAY,ANALYSEUR BIOCHIMIQUE POUR DOSAGE IMMUNONEPHELOMETRIQUE
76AAY,DENTAL UNIT TUBING AND ACCESSORIES,TUBAGE ET ACCESSOIRES POUR UNITE DENTAIRE
76DYW,BRACKET PLASTIC ORTHODONTIC,BOITIER ORTHODONTIQUE EN PLASTIQUE
76DZI,DRILLBONEPOWERED,FORET ELECTRIQUE
76EAZ,LIGHT SURGICAL OPERATING DENTAL,LAMPE CHIRURGICALE DENTAIRE
76EBE,COATING DENTURE HYDROPHILIC RESIN,REVETEMENT EN RESINE HYDROPHILE POUR PROTHESES DENTAIRES
76EBF,MATERIAL TOOTH SHADE RESIN,RESINE DENTAIRE TEINTEE
76EBJ,PRIMER CAVITY RESIN,RESINE D'APPRET POUR CAVITE
